行号,电缆编号,起点,终点,起点房间,终点房间,跨房间,手工长度,自动统计,向上取整,差值,基础路径长度,修正量,规则,状态,路径说明
118,SML-04,1#主变测控柜,1#主变保护柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
119,SML-05,电流接地选线及电能量采集柜,1#主变保护柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
120,SML-06,公用测控及时钟同步系统柜,电流接地选线及电能量采集柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
121,UPS-01,UPS电源柜,远动通信柜,房间_1CEF3,房间_1CEF3,否,20,19.1,20,-0.9,8.889,10.211,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
122,UPS-02,UPS电源柜,自动化舱事故照明,房间_1CEF3,房间_1CEF3,否,27,26.4,27,-0.6,14.975,11.425,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDBC:5 -> R1BDC2:3 -> R1BDC4:2 -> R1BDC4:1
123,UPS-03,UPS电源柜,35kV预制舱事故照明,房间_1CEF3,房间_1CEF2,是,50,51.7,52,1.7,33.566,18.134,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB5:1 -> R1BDBB:1 -> R1C26C:1 -> R1C26C:2；竖井：ZJ1
124,UPS-04,UPS电源柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,16,15.2,16,-0.8,5.689,9.511,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
125,UPS-05,UPS电源柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,14,13.3,14,-0.7,4.089,9.211,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
126,UPS-11,UPS电源柜,智能辅助监控系统屏,房间_1CEF3,房间_1CEF3,否,12,11.1,12,-0.9,4.081,7.019,路径不拐弯 +7,OK,R1BDBC:4
127,UPS-12,UPS电源柜,火灾报警主机,房间_1CEF3,房间_1CEF3,否,28,27.1,28,-0.9,15.621,11.479,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDBC:5 -> R1BDC2:3 -> R1BDC4:2 -> R1BDC4:1
128,UPS-13,UPS电源柜,火灾报警主机,房间_1CEF3,房间_1CEF3,否,28,27.1,28,-0.9,15.621,11.479,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDBC:5 -> R1BDC2:3 -> R1BDC4:2 -> R1BDC4:1
129,UPS-14,UPS电源柜,自动化舱后台插座,房间_1CEF3,房间_1CEF3,否,23,22.7,23,-0.3,11.935,10.765,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDBC:5 -> R1BDC2:3 -> R1C278:1 -> R1C278:2
130,CD-130,直流充电柜,故障录波柜,房间_1CEF3,房间_1CEF3,否,11,10.3,11,-0.7,3.281,7.019,路径不拐弯 +7,OK,R1BDBC:4
131,ZL-01,直流馈线柜,公用测控及时钟同步系统柜,房间_1CEF3,房间_1CEF3,否,20,19.3,20,-0.7,9.057,10.243,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6
132,ZL-02,直流馈线柜,公用测控及时钟同步系统柜,房间_1CEF3,房间_1CEF3,否,20,19.3,20,-0.7,9.057,10.243,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6
133,ZL-03,直流馈线柜,电流接地选线及电能量采集柜,房间_1CEF3,房间_1CEF3,否,20,19.1,20,-0.9,8.889,10.211,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
134,ZL-04,直流馈线柜,故障录波柜,房间_1CEF3,房间_1CEF3,否,10,9.5,10,-0.5,2.481,7.019,路径不拐弯 +7,OK,R1BDBC:4
135,ZL-05,直流馈线柜,远动通信柜,房间_1CEF3,房间_1CEF3,否,19,18.3,19,-0.7,8.257,10.043,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6
136,ZL-06,直流馈线柜,远动通信柜,房间_1CEF3,房间_1CEF3,否,19,18.3,19,-0.7,8.257,10.043,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6
137,ZL-07,直流馈线柜,10kV1#电容器组,房间_1CEF3,,是,42,43.5,44,1.5,26.714,16.786,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB5:1 -> R1BDBA:1 -> R1BDBA:2 -> R1BDBA:3；竖井：ZJ1
138,ZL-08,直流馈线柜,10kV2#电容器组,房间_1CEF3,,是,38,40.2,41,2.2,24.034,16.166,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4 -> R1BDB3:5 -> R1BDB3:6；竖井：ZJ1
139,ZL-09,直流馈线柜,10kV1#主变进线柜,房间_1CEF3,房间_1CEED,是,31,29.8,30,-1.2,15.319,14.481,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
140,ZL-10,直流馈线柜,10kV2#主变进线柜,房间_1CEF3,房间_1CEED,是,27,26.1,27,-0.9,12.276,13.824,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB4:1；竖井：ZJ1
141,ZL-11,直流馈线柜,1#主变保护柜,房间_1CEF3,房间_1CEF3,否,19,18.1,19,-0.9,8.089,10.011,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
142,ZL-12,直流馈线柜,1#主变保护柜,房间_1CEF3,房间_1CEF3,否,19,18.1,19,-0.9,8.089,10.011,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
143,ZL-13,直流馈线柜,2#主变保护柜,房间_1CEF3,房间_1CEF3,否,17,16.2,17,-0.8,6.489,9.711,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
144,ZL-14,直流馈线柜,2#主变保护柜,房间_1CEF3,房间_1CEF3,否,17,16.2,17,-0.8,6.489,9.711,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
145,ZL-16,直流馈线柜,35kV1#主变进线柜,房间_1CEF3,房间_1CEF2,是,37,39.1,40,2.1,23.065,16.035,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB5:1 -> R1BDBB:1；竖井：ZJ1
146,ZL-17,直流馈线柜,35kV1#主变进线柜,房间_1CEF3,房间_1CEF2,是,37,39.1,40,2.1,23.065,16.035,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB5:1 -> R1BDBB:1；竖井：ZJ1
147,ZL-18,直流馈线柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,18,17.1,18,-0.9,7.289,9.811,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
148,ZL-19,直流馈线柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,16,15.2,16,-0.8,5.689,9.511,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6
149,ZL-26,直流馈线柜,10kV1#主变进线柜,房间_1CEF3,房间_1CEED,是,31,29.8,30,-1.2,15.319,14.481,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
150,ZL-27,直流馈线柜,10kV1#主变进线柜,房间_1CEF3,房间_1CEED,是,31,29.8,30,-1.2,15.319,14.481,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
151,ZL-28,直流馈线柜,10kV张东10KV开闭所开关柜,房间_1CEF3,房间_1CEED,是,30,29.2,30,-0.8,14.857,14.343,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB4:1；竖井：ZJ1
152,ZL-29,直流馈线柜,10kV张东10KV开闭所开关柜,房间_1CEF3,房间_1CEED,是,30,29.2,30,-0.8,14.857,14.343,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB4:1；竖井：ZJ1
153,ZL-30,直流馈线柜,10kV备用电源进线柜,房间_1CEF3,房间_1CEED,是,31,33.2,34,2.2,18.171,15.029,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB5:1 -> R1BDBB:1；竖井：ZJ1
154,ZL-32,直流馈线柜,10kV备用电源进线柜,房间_1CEF3,房间_1CEED,是,31,33.2,34,2.2,18.171,15.029,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:4 -> R1BDB3:3 -> R1BDB5:1 -> R1BDBB:1；竖井：ZJ1
155,U-101A,35kV出线柜,故障录波柜,房间_1CEF2,房间_1CEF3,是,45,47.0,47,2.0,29.657,17.343,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
156,U-101B,35kV出线柜,故障录波柜,房间_1CEF2,房间_1CEF3,是,45,47.0,47,2.0,29.657,17.343,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
157,U-102,35kV出线柜,35kVPT柜,房间_1CEF2,房间_1CEF2,否,9,8.5,9,-0.5,1.534,6.966,路径不拐弯 +7,OK,R1BDBB:1
158,UYH-101A,35kVPT柜,1#主变保护柜,房间_1CEF2,房间_1CEF3,是,45,47.4,48,2.4,29.97,17.43,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
159,UYH-101B,35kVPT柜,1#主变保护柜,房间_1CEF2,房间_1CEF3,是,45,47.4,48,2.4,29.97,17.43,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
160,UYH-102A,35kVPT柜,2#主变保护柜,房间_1CEF2,房间_1CEF3,是,46,47.6,48,1.6,30.149,17.451,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
161,UYH-102B,35kVPT柜,2#主变保护柜,房间_1CEF2,房间_1CEF3,是,46,47.6,48,1.6,30.149,17.451,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
162,UYH-103,35kVPT柜,1#主变测控柜,房间_1CEF2,房间_1CEF3,是,46,48.3,49,2.3,30.77,17.53,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
163,UYH-104,35kVPT柜,2#主变测控柜,房间_1CEF2,房间_1CEF3,是,45,46.6,47,1.6,29.349,17.251,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
164,UYH-105A,35kVPT柜,故障录波柜,房间_1CEF2,房间_1CEF3,是,44,45.7,46,1.7,28.574,17.126,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
165,UYH-105B,35kVPT柜,故障录波柜,房间_1CEF2,房间_1CEF3,是,44,45.7,46,1.7,28.574,17.126,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
166,UYH-106,35kVPT柜,本柜1YD端子排,,,否,5,,,,,,,缺少终点柜坐标：本柜1YD端子排,
167,1B-191,1#主变有载开关,1#主变测控柜,,房间_1CEF3,是,40,41.8,42,1.8,25.342,16.458,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1C2F4:1 -> R1BDB3:2 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
168,1B-192,1#主变本体端子箱,1#主变保护柜,,房间_1CEF3,是,44,46.4,47,2.4,29.13,17.27,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:1 -> R1BDB3:2 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
169,1B-193,1#主变本体端子箱,1#主变测控柜,,房间_1CEF3,是,45,47.3,48,2.3,29.93,17.37,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:1 -> R1BDB3:2 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
170,1B-194,1#主变本体端子箱,1#主变有载开关,,,否,27,26.5,27,-0.5,15.105,11.395,路径拐弯/跨楼层（+7）×1.2,OK,R1BDB3:1 -> R1BDB3:2 -> R1C2F4:1
171,2B-191,2#主变有载开关,2#主变测控柜,,房间_1CEF3,是,42,43.8,44,1.8,27.039,16.761,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1C2F9:1 -> R1C2C7:3 -> R1BDB3:3 -> R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6；竖井：ZJ1
172,2B-192,2#主变本体端子箱,2#主变保护柜,,房间_1CEF3,是,37,38.9,39,1.9,22.878,16.022,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1C2F5:1 -> R1C2C7:3 -> R1BDB3:3 -> R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6；竖井：ZJ1
173,2B-193,2#主变本体端子箱,2#主变测控柜,,房间_1CEF3,是,36,37.9,38,1.9,22.078,15.822,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1C2F5:1 -> R1C2C7:3 -> R1BDB3:3 -> R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6；竖井：ZJ1
174,2B-194,2#主变本体端子箱,2#主变有载开关,,,否,27,27.0,27,0.0,15.486,11.514,路径拐弯/跨楼层（+7）×1.2,OK,R1C2F5:1 -> R1C2C7:3 -> R1C2F9:1
175,1UB-101A,35kV1#主变进线柜,1#主变保护柜,房间_1CEF2,房间_1CEF3,是,42,43.6,44,1.6,26.861,16.739,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
176,1UB-101B,35kV1#主变进线柜,1#主变保护柜,房间_1CEF2,房间_1CEF3,是,42,43.6,44,1.6,26.861,16.739,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
177,1UB-101C,35kV1#主变进线柜,1#主变保护柜,房间_1CEF2,房间_1CEF3,是,42,43.6,44,1.6,26.861,16.739,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
178,1UB-102A,35kV1#主变进线柜,1#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.6,45,1.6,27.661,16.939,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
179,1UB-102B,35kV1#主变进线柜,1#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.6,45,1.6,27.661,16.939,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
180,1UB-102C,35kV1#主变进线柜,1#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.6,45,1.6,27.661,16.939,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
181,1UB-102D,35kV1#主变进线柜,1#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.6,45,1.6,27.661,16.939,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
182,1UB-102E,35kV1#主变进线柜,1#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.6,45,1.6,27.661,16.939,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
183,1UB-103,35kV1#主变进线柜,10kV1#主变进线柜,房间_1CEF2,房间_1CEED,是,37,39.8,40,2.8,23.673,16.127,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:4
184,1UB-104,35kV1#主变进线柜,故障录波柜,房间_1CEF2,房间_1CEF3,是,40,42.0,42,2.0,25.465,16.535,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
185,2UB-101A,35kV2#主变进线柜,2#主变保护柜,房间_1CEF2,房间_1CEF3,是,44,45.7,46,1.7,28.547,17.153,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
186,2UB-101B,35kV2#主变进线柜,2#主变保护柜,房间_1CEF2,房间_1CEF3,是,44,45.7,46,1.7,28.547,17.153,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
187,2UB-101C,35kV2#主变进线柜,2#主变保护柜,房间_1CEF2,房间_1CEF3,是,44,45.7,46,1.7,28.547,17.153,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
188,2UB-102A,35kV2#主变进线柜,2#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.7,45,1.7,27.747,16.953,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
189,2UB-102B,35kV2#主变进线柜,2#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.7,45,1.7,27.747,16.953,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
190,2UB-102C,35kV2#主变进线柜,2#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.7,45,1.7,27.747,16.953,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
191,2UB-102D,35kV2#主变进线柜,2#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.7,45,1.7,27.747,16.953,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
192,2UB-102E,35kV2#主变进线柜,2#主变测控柜,房间_1CEF2,房间_1CEF3,是,43,44.7,45,1.7,27.747,16.953,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:1 -> R1BDBC:6；竖井：ZJ2
193,2UB-103,35kV2#主变进线柜,10kV2#主变进线柜,房间_1CEF2,房间_1CEED,是,35,38.0,38,3.0,22.138,15.862,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB4:1
194,2UB-104,35kV2#主变进线柜,故障录波柜,房间_1CEF2,房间_1CEF3,是,42,43.8,44,1.8,26.973,16.827,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
