行号,电缆编号,起点,终点,起点房间,终点房间,跨房间,手工长度,自动统计,向上取整,差值,基础路径长度,修正量,规则,状态,路径说明
257,2-1SYK-101,10kV2-1#预留馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,30,29.2,30,-0.8,14.816,14.384,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
258,2-1SYK-102,10kV2-1#预留馈线柜,10kV2#PT柜,房间_1CEED,房间_1CEED,否,15,14.8,15,-0.2,7.838,6.962,路径不拐弯 +7,OK,R1BDB3:4 -> R1BDB4:1
259,1-2SYK-101,10kV1-2#预留馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,31,32.7,33,1.7,17.727,14.973,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
260,1-2SYK-102,10kV1-2#预留馈线柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,26,25.6,26,-0.4,14.303,11.297,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
261,2-2SYK-101,10kV2-2#预留馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,29,28.2,29,-0.8,13.996,14.204,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
262,2-2SYK-102,10kV2-2#预留馈线柜,10kV2#PT柜,房间_1CEED,房间_1CEED,否,14,14.0,14,0.0,7.018,6.982,路径不拐弯 +7,OK,R1BDB3:4 -> R1BDB4:1
263,1-3SYK-101,10kV1-3#预留馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,32,31.2,32,-0.8,16.481,14.719,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
264,1-3SYK-102,10kV1-3#预留馈线柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,25,24.1,25,-0.9,13.057,11.043,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
265,2-3SYK-101,10kV2-3#预留馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,29,27.9,28,-1.1,13.71,14.19,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
266,2-3SYK-102,10kV2-3#预留馈线柜,10kV2#PT柜,房间_1CEED,房间_1CEED,否,13,12.3,13,-0.7,5.259,7.041,路径不拐弯 +7,OK,R1BDB4:1
267,1-4SYK-101,10kV1-4#预留馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,31,30.2,31,-0.8,15.697,14.503,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
268,1-4SYK-102,10kV1-4#预留馈线柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,24,23.1,24,-0.9,12.272,10.828,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
269,2-4SYK-101,10kV2-4#预留馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,30,29.0,29,-1.0,14.648,14.352,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
270,2-4SYK-102,10kV2-4#预留馈线柜,10kV2#PT柜,房间_1CEED,房间_1CEED,否,12,11.4,12,-0.6,4.401,6.999,路径不拐弯 +7,OK,R1BDB4:1
271,2-11S-101,10kV石膏烘干配电站,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,31,30.0,30,-1.0,15.541,14.459,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
272,2-11S-102,10kV石膏烘干配电站,10kV2#PT柜,房间_1CEED,房间_1CEED,否,11,10.5,11,-0.5,3.519,6.981,路径不拐弯 +7,OK,R1BDB4:1
273,2-12S-101,10kV烧成配电站二段,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,33,31.6,32,-1.4,16.812,14.788,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
274,2-12S-102,10kV烧成配电站二段,10kV2#PT柜,房间_1CEED,房间_1CEED,否,10,9.3,10,-0.7,2.262,7.038,路径不拐弯 +7,OK,R1BDB4:1
275,2-15S-101,10kV硫酸变配电室二段,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,33,34.7,35,1.7,19.417,15.283,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
276,2-15S-102,10kV硫酸变配电室二段,10kV2#PT柜,房间_1CEED,房间_1CEED,否,9,8.2,9,-0.8,1.211,6.989,路径不拐弯 +7,OK,R1BDB4:1
